prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
WP2488,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2488.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2487,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2487.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2489,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2489.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2418,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,SILVER,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2418.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
WP2445,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2445.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8124,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8124.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WA7820,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7820.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WA7790,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7790.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2470,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2470.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WA7817,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7817.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2498,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2498.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
ER8188,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREEN ,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8188.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
ER8242,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8242.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2473,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2473.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2490,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2490.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
ER8125,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8125.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2477,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2477.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2515,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2515.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8237,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8237.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2409,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2409.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
